frag_id,charge,spin_multiplicity,fragment
frag83,0,2,[H]/[C-]=C(/[H])C([H])([H])/[O+]=[O+]/[H]
frag84,0,2,[H]/[C-]=C(\[H])C([H])([H])/[O+]=[O+]\[H]
frag85,0,2,[H]/[C-]=C(/[H])C([H])([H])/[O+]=[O+]\[H]
frag86,0,2,[H]CC([H])([H])[C+]([H])[H]
frag87,0,2,[H]CC([H])([H])C([H])([H])[O+]=O
frag88,0,1,[H]C([H])=C([H])[H]
frag89,0,1,[H]C([H])([O-])C([H])([H])C#[O+]
frag90,0,1,[H]C[H]
frag91,0,1,[H]C(=O)C([H])([H])C([H])=O
frag92,0,1,[H]OOC([H])([H])[C@@]1([H])OC1([H])[H]
frag93,0,1,[H]OOC([H])([H])[C@]1([H])OC1([H])[H]
frag94,0,1,[H]O[O+]1O[C@@]([H])([C-]([H])[H])C1([H])[H]
frag95,0,1,[H]O[O+]1O[C@]([H])([C-]([H])[H])C1([H])[H]
frag96,0,1,[H]OOOC1([H])C([H])([H])C1([H])[H]
frag97,0,1,[H]OO[C@@]1([H])C([H])([H])[C@]1([H])O[H]
frag98,0,1,[H]OO[C@@]1([H])C([H])([H])[C@@]1([H])O[H]
frag99,0,1,[H]OO[C@]1([H])C([H])([H])[C@]1([H])O[H]
frag100,0,1,[H]OO[C@]1([H])C([H])([H])[C@@]1([H])O[H]
frag101,0,1,[H][C-]([H])[C@]1([H])O[O+]([H])OC1([H])[H]
frag102,0,1,[H][C-]([H])[C@@]1([H])O[O+]([H])OC1([H])[H]
frag103,0,1,[H][O+]([O-])OC1([H])C([H])([H])C1([H])[H]
frag104,0,1,[H]O[O+]1C([H])([H])C([H])([O-])C1([H])[H]
frag105,0,1,[H][O+]1OC([H])([H])[C@@]([H])([O-])C1([H])[H]
frag106,0,1,[H][O+]1OC([H])([H])[C@]([H])([O-])C1([H])[H]
frag107,0,1,[H]O[O+]([H])[C@@]1([H])C([H])([H])[C@]1([H])[O-]
frag108,0,1,[H]O[O+]([H])[C@@]1([H])C([H])([H])[C@@]1([H])[O-]
frag109,0,1,[H]O[O+]([H])[C@]1([H])C([H])([H])[C@]1([H])[O-]
frag110,0,1,[H]O[O+]([H])[C@]1([H])C([H])([H])[C@@]1([H])[O-]
frag111,0,1,[H][O+]([H])O[C@@]1([H])C([H])([H])[C@]1([H])[O-]
frag112,0,1,[H][O+]([H])O[C@@]1([H])C([H])([H])[C@@]1([H])[O-]
frag113,0,1,[H][O+]([H])O[C@]1([H])C([H])([H])[C@]1([H])[O-]
frag114,0,1,[H][O+]([H])O[C@]1([H])C([H])([H])[C@@]1([H])[O-]
frag115,0,1,[H]O[O+]1OC([H])([H])[C-]([H])C1([H])[H]
frag116,0,1,[H][C-]1C([H])([H])O[O+]([H])OC1([H])[H]
frag117,0,1,[H]O[O+]1C([H])([H])[C@]1([H])C([H])([H])[O-]
frag118,0,1,[H]O[O+]1C([H])([H])[C@@]1([H])C([H])([H])[O-]
frag119,0,1,[H][O+]1OC([H])([H])[C@]1([H])C([H])([H])[O-]
frag120,0,1,[H][O+]1OC([H])([H])[C@@]1([H])C([H])([H])[O-]
frag121,0,1,[H][O+]1[O+]2C([H])([H])C([H])([H])[C@@]12[H]
frag122,0,1,[H][O+]1[O+]2C([H])([H])C([H])([H])[C@]12[H]
frag123,0,1,[H]O[O+]1[C-]([H])OC([H])([H])C1([H])[H]
