batch,fragname,confname,energy,enthalpy
batch1,frag1131,82,,
batch1,frag1142,20,,
batch1,frag1024,63,,
batch1,frag1069,16,,
batch1,frag1052,38,,
batch1,frag1084,7,,
batch1,frag1023,68,,
batch1,frag1014,21,,
batch1,frag1079,7,,
batch1,frag1055,33,,
batch1,frag1059,54,,
batch1,frag1009,92,,
batch1,frag1040,1,-0.0524933620419,0.029648
batch1,frag1009,475,,
batch1,frag1082,28,,
batch1,frag1132,144,,
batch1,frag1093,140,,
batch1,frag1089,44,,
batch1,frag1131,106,,
batch1,frag1153,25,,
batch1,frag1078,13,,
batch1,frag1112,37,,
batch1,frag1093,191,,
batch1,frag1119,9,,
batch1,frag1129,19,0.0840838997239,0.18304
batch1,frag108,18,,
batch1,frag1132,195,,
batch1,frag1158,49,,
batch1,frag1009,303,,
batch1,frag1005,24,,
batch1,frag1163,67,,
batch1,frag1009,43,,
batch1,frag1044,36,,
batch1,frag110,52,,
batch1,frag1101,11,,
batch1,frag1136,58,,
batch1,frag1067,52,,
batch1,frag1131,211,,
batch1,frag1072,3,,
batch1,frag1150,4,,
batch1,frag1026,40,,
batch1,frag1094,26,,
batch1,frag1057,10,,
batch1,frag1060,59,,
batch1,frag1002,8,-0.0227508502592,0.054071
batch1,frag1113,164,,
batch1,frag1131,53,,
batch1,frag107,5,,
batch1,frag1167,21,,
batch1,frag1090,8,,
batch1,frag1126,33,,
batch1,frag1127,120,,
batch1,frag1031,20,,
batch1,frag1157,63,,
batch1,frag1113,88,,
batch1,frag1070,32,,
batch1,frag107,32,,
batch1,frag1135,15,,
batch1,frag1068,78,,
batch1,frag1012,44,,
batch1,frag1032,226,,
batch1,frag1148,22,,
batch1,frag1019,28,,
batch1,frag1144,45,,
batch1,frag1024,5,,
batch1,frag1106,2,,
batch1,frag1112,218,,
batch1,frag1137,36,,
batch1,frag1051,75,,
batch1,frag1020,25,,
batch1,frag1061,37,,
batch1,frag1107,74,-0.090413296913,0.007901
batch1,frag1127,237,,
batch1,frag1081,65,,
batch1,frag1113,59,,
batch1,frag1124,10,,
batch1,frag1128,77,,
batch1,frag1031,173,,
batch1,frag1003,41,,
batch1,frag1134,0,,
batch1,frag1016,7,,
batch1,frag109,76,,
batch1,frag1072,11,,
batch1,frag1032,131,,
batch1,frag1094,85,,
batch1,frag1013,58,,
batch1,frag1024,11,,
batch1,frag100,1,-0.0786995703043,0.022284
batch1,frag1028,76,,
batch1,frag1059,26,,
batch1,frag1055,41,,
batch1,frag1157,0,,
batch1,frag1014,53,,
batch1,frag1132,136,,
batch1,frag1113,201,,
batch1,frag1009,407,,
batch1,frag1151,74,,
batch1,frag1089,36,,
batch1,frag1131,174,,
batch1,frag1112,94,,
batch1,frag1093,132,,
batch1,frag1112,45,,
